,registration,milage,duration,fee,emission,consumption,horsepower,brand,model,gear,fuel
79,4,1.0,48.0,512.39,144.0,6.0,116.0,Skoda,Octavia ŠKODA Combi Style TDI,Manuelle Schaltung,Diesel
80,22,27500.0,48.0,592.66,120.0,5.0,220.0,BMW,X1 xDrive25e PHEV M-Paket,Automatik,Hybrid
81,8,48000.0,48.0,537.86,127.0,6.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
82,8,2491.0,48.0,452.18,149.0,7.0,110.0,Opel,Crossland X Crossland 1.2 Turbo Business FLA LED S,Manuelle Schaltung,Benzin
83,23,57424.0,48.0,556.6,152.0,7.0,136.0,Audi,A4 Avant 30 TDI advanced,Automatik,Diesel
84,3,1.0,48.0,599.64,124.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
85,43,20356.0,48.0,321.31,119.0,5.0,95.0,Audi,A1 Sportback 25 TFSI advanced exterieur,Manuelle Schaltung,Benzin
86,3,301.0,48.0,475.2,131.0,6.0,116.0,Audi,A3 Sportback 30 TDI intense,Manuelle Schaltung,Diesel
87,3,201.0,48.0,799.4,120.0,5.0,200.0,Skoda,Octavia ŠKODA Combi RS TDI DSG,Automatik,Benzin
88,5,9870.0,48.0,960.58,127.0,6.0,310.0,Cupra,Formentor VZ 2.0 TSI DSG 4Drive,Automatik,Benzin
89,2,50.0,48.0,797.47,138.0,5.0,150.0,Skoda,Octavia ŠKODA Combi 4x4 SCOUT TDI DSG,Automatik,Diesel
90,3,1.0,48.0,514.3,126.0,6.0,110.0,Audi,A3 Sportback 30 TFSI intense,Automatik,Benzin
91,13,9448.0,48.0,388.91,135.0,5.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
92,3,1.0,48.0,576.74,109.0,4.0,110.0,Volkswagen,T-Roc VW Cabriolet Style TSI,Manuelle Schaltung,Benzin
93,2,1.0,48.0,712.44,115.0,5.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
94,3,1000.0,48.0,421.56,109.0,5.0,110.0,Skoda,Kamiq ŠKODA Active TSI,Manuelle Schaltung,Benzin
95,2,201.0,48.0,574.01,138.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
96,2,201.0,48.0,382.58,101.0,4.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
97,4,1.0,48.0,309.11,162.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
98,41,105301.0,48.0,587.75,124.0,6.0,190.0,Audi,A4 Avant 40 TDI quattro S line,Automatik,Diesel
99,35,18903.0,48.0,256.33,125.0,6.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
100,53,105750.0,48.0,255.85,99.0,4.0,116.0,Volkswagen,Golf VW Variant TDI SCR,Manuelle Schaltung,Diesel
101,50,135173.0,48.0,362.57,135.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
102,34,73940.0,48.0,437.7,113.0,4.0,150.0,Volkswagen,Passat VW Variant Business TDI SCR DSG,Automatik,Diesel
103,52,57909.0,48.0,242.28,135.0,5.0,86.0,Seat,Leon Kombi Reference TSI,Manuelle Schaltung,Benzin
104,31,43620.0,48.0,604.6,129.0,5.0,204.0,Audi,A4 Limousine 40 TDI S line quattro,Automatik,Diesel
105,35,39941.0,48.0,299.72,151.0,7.0,125.0,Ford,"Focus Traveller 1.0 ECO LED,Navi,WSS+SHZ",Manuelle Schaltung,Benzin
106,0,15.0,48.0,423.18,105.0,5.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
107,3,25.0,48.0,904.15,116.0,4.0,150.0,Skoda,Kodiaq ŠKODA 4x4 SPORTLINE TDI DSG,Automatik,Diesel
108,23,26189.0,48.0,445.8,195.0,9.0,110.0,Audi,A3 Sportback 30 TFSI intense,Manuelle Schaltung,Benzin
109,0,15.0,48.0,414.94,144.0,6.0,120.0,Hyundai,"i30 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
110,29,20020.0,48.0,374.9,120.0,5.0,125.0,Ford,"Puma 1,0 EcoBoost Hybrid ST-Line",Manuelle Schaltung,Benzin
111,35,46669.0,48.0,374.27,127.0,6.0,120.0,Opel,Crossland X 1.5 CDTI BlueIn. Innovation Start/Stop,Automatik,Diesel
112,0,15.0,48.0,429.01,152.0,7.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
113,2,0.0,48.0,755.81,149.0,7.0,150.0,Audi,Q3 Sportback 35 TDI,Manuelle Schaltung,Diesel
114,4,1.0,48.0,512.39,113.0,4.0,116.0,Skoda,Octavia ŠKODA Combi Style TDI,Manuelle Schaltung,Diesel
115,22,27500.0,48.0,592.66,113.0,4.0,220.0,BMW,X1 xDrive25e PHEV M-Paket,Automatik,Hybrid
116,8,48000.0,48.0,537.86,125.0,6.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
117,8,2491.0,48.0,452.18,113.0,5.0,110.0,Opel,Crossland X Crossland 1.2 Turbo Business FLA LED S,Manuelle Schaltung,Benzin
118,23,57424.0,48.0,556.6,115.0,5.0,136.0,Audi,A4 Avant 30 TDI advanced,Automatik,Diesel
119,3,1.0,48.0,599.64,117.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
120,43,20356.0,48.0,321.31,153.0,7.0,95.0,Audi,A1 Sportback 25 TFSI advanced exterieur,Manuelle Schaltung,Benzin
121,3,301.0,48.0,475.2,140.0,6.0,116.0,Audi,A3 Sportback 30 TDI intense,Manuelle Schaltung,Diesel
122,3,201.0,48.0,799.4,121.0,5.0,200.0,Skoda,Octavia ŠKODA Combi RS TDI DSG,Automatik,Benzin
123,5,9870.0,48.0,960.58,134.0,6.0,310.0,Cupra,Formentor VZ 2.0 TSI DSG 4Drive,Automatik,Benzin
124,2,50.0,48.0,797.47,195.0,9.0,150.0,Skoda,Octavia ŠKODA Combi 4x4 SCOUT TDI DSG,Automatik,Diesel
125,3,1.0,48.0,514.3,131.0,6.0,110.0,Audi,A3 Sportback 30 TFSI intense,Automatik,Benzin
126,13,9448.0,48.0,388.91,119.0,5.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
127,2,1.0,48.0,712.44,120.0,5.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
128,3,1.0,48.0,576.74,127.0,6.0,110.0,Volkswagen,T-Roc VW Cabriolet Style TSI,Manuelle Schaltung,Benzin
129,61,35246.0,36.0,639.04,126.0,6.0,190.0,Audi,A5 Coupe 2.0 TDI Sport,Automatik,Diesel
130,61,35246.0,36.0,639.04,135.0,5.0,190.0,Audi,A5 Coupe 2.0 TDI Sport,Automatik,Diesel
131,3,1.0,48.0,330.97,109.0,4.0,95.0,Seat,Ibiza FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
132,47,42932.0,48.0,404.75,115.0,5.0,116.0,Volkswagen,T-Roc VW Design TDI,Manuelle Schaltung,Diesel
133,50,103693.0,48.0,379.44,139.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
134,29,49638.0,48.0,437.7,109.0,5.0,116.0,Audi,A3 Sportback 30 TDI advanced ext.,Manuelle Schaltung,Diesel
135,8,4100.0,48.0,577.93,138.0,5.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
136,2,201.0,48.0,574.24,101.0,4.0,150.0,Skoda,Karoq ŠKODA Style TSI DSG ACT,Automatik,Benzin
137,59,81115.0,48.0,436.19,120.0,5.0,150.0,Volkswagen,Touran VW Comfortline TDI SCR DSG 7-Sitzer,Automatik,Diesel
138,2,201.0,48.0,460.09,162.0,6.0,110.0,Volkswagen,T-Cross VW Style TSI,Manuelle Schaltung,Benzin
139,2,5000.0,48.0,767.81,124.0,6.0,245.0,Seat,Tarraco FR 2.0 TSI DSG 4Drive,Automatik,Benzin
140,2,201.0,48.0,382.58,125.0,6.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
141,2,201.0,48.0,574.01,115.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
142,7,15000.0,48.0,239.62,99.0,4.0,80.0,Seat,Ibiza Austria Edition,Manuelle Schaltung,Benzin
143,4,1.0,48.0,309.11,120.0,5.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
144,35,18903.0,48.0,256.33,113.0,4.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
145,53,105750.0,48.0,255.85,129.0,5.0,116.0,Volkswagen,Golf VW Variant TDI SCR,Manuelle Schaltung,Diesel
146,50,135173.0,48.0,362.57,105.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
147,34,73940.0,48.0,437.7,116.0,4.0,150.0,Volkswagen,Passat VW Variant Business TDI SCR DSG,Automatik,Diesel
148,31,43620.0,48.0,604.6,195.0,9.0,204.0,Audi,A4 Limousine 40 TDI S line quattro,Automatik,Diesel
149,35,39941.0,48.0,299.72,144.0,6.0,125.0,Ford,"Focus Traveller 1.0 ECO LED,Navi,WSS+SHZ",Manuelle Schaltung,Benzin
150,0,15.0,48.0,423.18,120.0,5.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
151,3,25.0,48.0,904.15,127.0,6.0,150.0,Skoda,Kodiaq ŠKODA 4x4 SPORTLINE TDI DSG,Automatik,Diesel
