,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
8365,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"299,00 €",140 PS,103 kW,Benzin,182 g/km,"7,7 l/100 km"
8366,Volkswagen Golf,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"294,00 €",150 PS,110 kW,Benzin,131 g/km,"5,8 l/100 km"
8367,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"214,00 €",110 PS,81 kW,Benzin,150 g/km,"6,7 l/100 km"
8368,Tesla,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"533,20 €",498 PS,366 kW,Elektro,125 g/km,"5,5 l/100 km"
8369,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",25.000 km,06/2022,60 Monate (anpassbar),"209,00 €",140 PS,103 kW,Benzin,140 g/km,"5,3 l/100 km"
8370,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"224,91 €",110 PS,81 kW,Benzin,143 g/km,"5,5 l/100 km"
8371,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",7.989 km,07/2022,48 Monate (anpassbar),"549,00 €",313 PS,230 kW,Elektro,282 g/km,"10,7 l/100 km"
8372,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",19.130 km,05/2022,36 Monate (anpassbar),"500,00 €",204 PS,150 kW,Diesel,116 g/km,"4,4 l/100 km"
8373,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"149,00 €",91 PS,67 kW,Benzin,106 g/km,"4,9 l/100 km"
8374,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"415,00 €",190 PS,140 kW,Benzin,1 g/km,"1,8 l/100 km"
8375,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"459,00 €",170 PS,125 kW,Elektro,105 g/km,"4,7 l/100 km"
8376,Alpine,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"689,00 €",300 PS,221 kW,Benzin,150 g/km,"6,7 l/100 km"
8377,Alfa Romeo,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"369,00 €",280 PS,206 kW,Benzin,39 g/km,"2,0 l/100 km"
8378,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"188,00 €",140 PS,103 kW,Benzin,134 g/km,"5,9 l/100 km"
8379,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",18.176 km,03/2022,48 Monate (anpassbar),"599,00 €",204 PS,150 kW,Diesel,58 g/km,"5,1 l/100 km"
8380,DS Automobiles,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"323,00 €",131 PS,96 kW,Diesel,181 g/km,"8,2 l/100 km"
8381,Ford,10.000 km (anpassbar),"0,00 € (anpassbar)",5 km,Neuwagen,48 Monate (anpassbar),"339,00 €",120 PS,88 kW,Diesel,144 g/km,"6,4 l/100 km"
8382,Toyota,20.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,36 Monate (anpassbar),"504,00 €",182 PS,134 kW,Benzin,102 g/km,"4,5 l/100 km"
8383,Kia,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"160,49 €",84 PS,62 kW,Benzin,125 g/km,"5,6 l/100 km"
8384,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,24 Monate (anpassbar),"268,94 €",300 PS,221 kW,Benzin,133 g/km,"5,9 l/100 km"
8385,Nissan,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"379,00 €",158 PS,116 kW,Benzin,144 g/km,"6,4 l/100 km"
8386,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"343,00 €",150 PS,110 kW,Benzin,175 g/km,"7,7 l/100 km"
8387,Mitsubishi,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,60 Monate (anpassbar),"419,00 €",188 PS,138 kW,Hybrid,129 g/km,"4,9 l/100 km"
8388,Renault,10.000 km (anpassbar),"0,00 € (anpassbar)",15.000 km,06/2022,48 Monate (anpassbar),"199,00 €",140 PS,103 kW,Andere,120 g/km,"5,3 l/100 km"
